Plaintext,Ciphertext,CipherType
The cat jumped over the fence,Cqn ljc sdvynm xena cqn onwln,caesar
The cat jumped over the fence,OFG VKO WJQLGE ZIGP OFG HGDVG,substitution
The cat jumped over the fence,ecnef eht revo depmuj tac ehT,transposition
The cat jumped over the fence,VVH GCH MYODHH QJHV VVH JGBFI,vigenere
The cat jumped over the fence,GSV XZG QFNKVW LEVI GSV UVMXV,atbash
The cat jumped over the fence,ZRC SIZ BEQFCX AJCP ZRC HCVSC,affine
The cat jumped over the fence,VFODRVGXNQDGYZKDVFKGDUDO,playfair
The cat jumped over the fence,Tcjevtfeh a updoe h ecetm ren,rail_fence
The cat jumped over the fence,10011 00111 00100 00010 00000 10011 01001 10100 01100 01111 00100 00011 01110 10101 00100 10001 10011 00111 00100 00101 00100 01101 00010 00100,bacon
Raindrops echoed on the rooftop,Vemrhvstw iglsih sr xli vssjxst,caesar
Raindrops echoed on the rooftop,SEPZKSHGA LRNHLK HZ MNL SHHDMHG,substitution
Raindrops echoed on the rooftop,potfoor eht no deohce spordniaR,transposition
Raindrops echoed on the rooftop,JEKEHKGTU VGAGIF FR MZI TFSYLSR,vigenere
Raindrops echoed on the rooftop,IZRMWILKH VXSLVW LM GSV ILLUGLK,atbash
Raindrops echoed on the rooftop,PIWVXPAFU CSRACX AV ZRC PAAHZAF,affine
Raindrops echoed on the rooftop,DBGQADYSNOALKYCEMUGYCKKLZKQV,playfair
Raindrops echoed on the rooftop,Rdsh trtanrp codo h ofoioeeneop,rail_fence
Raindrops echoed on the rooftop,10001 00000 01000 01101 00011 10001 01110 01111 10010 00100 00010 00111 01110 00100 00011 01110 01101 10011 00111 00100 10001 01110 01110 00101 10011 01110 01111,bacon
Banana smoothie with extra honey,Kjwjwj bvxxcqrn frcq ngcaj qxwnh,caesar
Banana smoothie with extra honey,EFSFSF CJYYATPG WPAT GQARF TYSGI,substitution
Banana smoothie with extra honey,yenoh artxe htiw eihtooms ananaB,transposition
Banana smoothie with extra honey,LELKRY CQMYXFSI USXF OBRBE FYRCI,vigenere
Banana smoothie with extra honey,YZMZMZ HNLLGSRV DRGS VCGIZ SLMVB,atbash
Banana smoothie with extra honey,NIVIVI UQAAZRWC OWZR CTZPI RAVCY,affine
Banana smoothie with extra honey,CBPDPDMNWZVFGWBQVFWUKFHPESYW,playfair
Banana smoothie with extra honey,Bnmhw roaaasoti ihetahnyn oetx e,rail_fence
Banana smoothie with extra honey,00001 00000 01101 00000 01101 00000 10010 01100 01110 01110 10011 00111 01000 00100 10110 01000 10011 00111 00100 10111 10011 10001 00000 00111 01110 01101 00100 11000,bacon
An old book sat on the dusty shelf,Vi jgy wjjf nvo ji ocz ypnot nczga,caesar
An old book sat on the dusty shelf,QP ONX SOOW HQU OP ULJ XVHUR HLJNI,substitution
An old book sat on the dusty shelf,flehs ytsud eht no tas koob dlo nA,transposition
An old book sat on the dusty shelf,KR MVH ZYSI CER YR RRI BEWRI WFOPD,vigenere
An old book sat on the dusty shelf,ZM LOW YLLP HZG LM GSV WFHGB HSVOU,atbash
An old book sat on the dusty shelf,IV ALX NAAG UIZ AV ZRC XEUZY URCLH,affine
An old book sat on the dusty shelf,DPCSACWZOMRVESVFDGZNVKPLOGIT,playfair
An old book sat on the dusty shelf,Alosohu lnodbo a ntedsysef  kt  th,rail_fence
An old book sat on the dusty shelf,00000 01101 01110 01011 00011 00001 01110 01110 01010 10010 00000 10011 01110 01101 10011 00111 00100 00011 10100 10010 10011 11000 10010 00111 00100 01011 00101,bacon
Thunder rumbled in the distance,Ymzsijw wzrgqji ns ymj inxyfshj,caesar
Thunder rumbled in the distance,XHPZOJY YPWQNJO UZ XHJ OUGXCZIJ,substitution
Thunder rumbled in the distance,ecnatsid eht ni delbmur rednuhT,transposition
Thunder rumbled in the distance,LLWEHXJ VWDFEWH KE XAW HKJXTFGG,vigenere
Thunder rumbled in the distance,GSFMWVI IFNYOVW RM GSV WRHGZMXV,atbash
Thunder rumbled in the distance,ZREVXCP PEQNLCX WV ZRC XWUZIVSC,affine
Thunder rumbled in the distance,VFEUGDBTTNCIDGGQVFDGLQVRSDWU,playfair
Thunder rumbled in the distance,Tdrlihinhne ube ntedsacurmd  te,rail_fence
Thunder rumbled in the distance,10011 00111 10100 01101 00011 00100 10001 10001 10100 01100 00001 01011 00100 00011 01000 01101 10011 00111 00100 00011 01000 10010 10011 00000 01101 00010 00100,bacon
A secret message was hidden inside,L dpncpe xpddlrp hld stoopy tydtop,caesar
A secret message was hidden inside,I QVLAVY BVQQICV EIQ RKUUVD KDQKUV,substitution
A secret message was hidden inside,edisni neddih saw egassem terces A,transposition
A secret message was hidden inside,C GHGTSW QGGVEIS ZEU VLHFSQ MPGLHG,vigenere
A secret message was hidden inside,Z HVXIVG NVHHZTV DZH SRWWVM RMHRWV,atbash
A secret message was hidden inside,I UCSPCZ QCUUIMC OIU RWXXCV WVUWXC,affine
A secret message was hidden inside,CPODDKKTONPCNDYBPLGBGDQGPMGBWU,playfair
A secret message was hidden inside,Ac s  did ertmsaewshde nieseegains,rail_fence
A secret message was hidden inside,00000 10010 00100 00010 10001 00100 10011 01100 00100 10010 10010 00000 00110 00100 10110 00000 10010 00111 01000 00011 00011 00100 01101 01000 01101 10010 01000 00011 00100,bacon
The artist painted with bold colors,Lzw sjlakl hsaflwv oalz tgdv ugdgjk,caesar
The artist painted with bold colors,GUD PMGFSG YPFHGDZ XFGU WLQZ JLQLMS,substitution
The artist painted with bold colors,sroloc dlob htiw detniap tsitra ehT,transposition
The artist painted with bold colors,DLC KVRSWR ZEGXXCN AGDL ZYPB MSJYVQ,vigenere
The artist painted with bold colors,GSV ZIGRHG KZRMGVW DRGS YLOW XLOLIH,atbash
The artist painted with bold colors,ZRC IPZWUZ FIWVZCX OWZR NALX SALAPU,affine
The artist painted with bold colors,VFYDFKLQVMBHMUDGBQVFCWGCLCSCCM,playfair
The artist painted with bold colors,Tasaeib oh ritpitdwt odclret n hlos,rail_fence
The artist painted with bold colors,10011 00111 00100 00000 10001 10011 01000 10010 10011 01111 00000 01000 01101 10011 00100 00011 10110 01000 10011 00111 00001 01110 01011 00011 00010 01110 01011 01110 10001 10010,bacon
"Suddenly, the lights flickered","Fhqqrayl, gur yvtugf syvpxrerq",caesar
"Suddenly, the lights flickered","BUKKVWFG, ARV FMDRAB XFMPEVHVK",substitution
"Suddenly, the lights flickered","derekcilf sthgil eht ,ylnedduS",transposition
"Suddenly, the lights flickered","KYFUIGDC, VYI EAKJKW YDMEBIKWH",vigenere
"Suddenly, the lights flickered","HFWWVMOB, GSV ORTSGH UORXPVIVW",atbash
"Suddenly, the lights flickered","UEXXCVLY, ZRC LWMRZU HLWSGCPCX",affine
"Suddenly, the lights flickered",NZBUDUHOVFOGLHFVMLFLROKDDG,playfair
"Suddenly, the lights flickered","Se,eg ceudny h ihsfikrddltltle",rail_fence
"Suddenly, the lights flickered",10010 10100 00011 00011 00100 01101 01011 11000 10011 00111 00100 01011 01000 00110 00111 10011 10010 00101 01011 01000 00010 01010 00100 10001 00100 00011,bacon
Twelve candles on the birthday cake,Hkszjs qobrzsg cb hvs pwfhvrom qoys,caesar
Twelve candles on the birthday cake,AWLBGL XZYHBLO CY ATL FRIATHZN XZUL,substitution
Twelve candles on the birthday cake,ekac yadhtrib eht no seldnac evlewT,transposition
Twelve candles on the birthday cake,VKHPXS FEPROIU CQ XJS EMTHKHCM FEMS,vigenere
Twelve candles on the birthday cake,GDVOEV XZMWOVH LM GSV YRIGSWZB XZPV,atbash
Twelve candles on the birthday cake,ZOCLJC SIVXLCU AV ZRC NWPZRXIY SIGC,affine
Twelve candles on the birthday cake,XKOGUYRBUGGOZCMUGYIQFKGAHARBEY,playfair
Twelve candles on the birthday cake,Tvaeneraawlecnlso h itdycke d tbh e,rail_fence
Twelve candles on the birthday cake,10011 10110 00100 01011 10101 00100 00010 00000 01101 00011 01011 00100 10010 01110 01101 10011 00111 00100 00001 01000 10001 10011 00111 00011 00000 11000 00010 00000 01010 00100,bacon
A whisper in the wind,M ituebqd uz ftq iuzp,caesar
A whisper in the wind,C JXSHBOK SN QXO JSNV,substitution
A whisper in the wind,dniw eht ni repsihw A,transposition
A whisper in the wind,C KKMUDHV KB WLG KLRF,vigenere
A whisper in the wind,Z DSRHKVI RM GSV DRMW,atbash
A whisper in the wind,I ORWUFCP WV ZRC OWVX,affine
A whisper in the wind,BYILMQKDGQVFYOGQBU,playfair
A whisper in the wind,Air  d hse ntewnwpihi,rail_fence
A whisper in the wind,00000 10110 00111 01000 10010 01111 00100 10001 01000 01101 10011 00111 00100 10110 01000 01101 00011,bacon
Bright neon signs lit the street,Rhywxj dued iywdi byj jxu ijhuuj,caesar
Bright neon signs lit the street,OSTEBG QFXQ JTEQJ DTG GBF JGSFFG,substitution
Bright neon signs lit the street,teerts eht til sngis noen thgirB,transposition
Bright neon signs lit the street,TVKXLM FIQE WBYRU CMM LLG JXKWIV,vigenere
Bright neon signs lit the street,YIRTSG MVLM HRTMH ORG GSV HGIVVG,atbash
Bright neon signs lit the street,NPWMRZ VCAV UWMVU LWZ ZRC UZPCCZ,affine
Bright neon signs lit the street,CDLHFVUDESQLNUZSFXVFONKFWUUZ,playfair
Bright neon signs lit the street,Bhessterrgtno in i h teti ngltse,rail_fence
Bright neon signs lit the street,00001 10001 01000 00110 00111 10011 01101 00100 01110 01101 10010 01000 00110 01101 10010 01011 01000 10011 10011 00111 00100 10010 10011 10001 00100 00100 10011,bacon
The clock struck midnight,Jxu sbesa ijhksa cytdywxj,caesar
The clock struck midnight,IDF RJHRC EIGNRC QWSPWXDI,substitution
